"T","arc_length","Points:0","Points:1","Points:2"
311.65,0.098644,0.10864,0,0
311.63,0.098826,0.10883,0,0
311.62,0.099008,0.10901,0,0
311.6,0.09919,0.10919,0,0
311.58,0.099372,0.10937,0,0
311.56,0.099554,0.10955,0,0
311.55,0.099736,0.10974,0,0
311.53,0.099918,0.10992,0,0
311.51,0.1001,0.1101,0,0
311.5,0.10028,0.11028,0,0
311.48,0.10046,0.11046,0,0
311.47,0.10065,0.11065,0,0
311.45,0.10083,0.11083,0,0
311.43,0.10101,0.11101,0,0
311.42,0.10119,0.11119,0,0
311.41,0.10137,0.11137,0,0
311.39,0.10156,0.11156,0,0
311.38,0.10174,0.11174,0,0
311.36,0.10192,0.11192,0,0
311.35,0.1021,0.1121,0,0
311.34,0.10228,0.11228,0,0
311.33,0.10247,0.11247,0,0
311.31,0.10265,0.11265,0,0
311.3,0.10283,0.11283,0,0
311.29,0.10301,0.11301,0,0
311.28,0.10319,0.11319,0,0
311.27,0.10338,0.11338,0,0
311.25,0.10356,0.11356,0,0
311.24,0.10374,0.11374,0,0
311.23,0.10392,0.11392,0,0
311.22,0.1041,0.1141,0,0
311.21,0.10429,0.11429,0,0
311.2,0.10447,0.11447,0,0
311.19,0.10465,0.11465,0,0
311.18,0.10483,0.11483,0,0
311.17,0.10501,0.11501,0,0
311.16,0.1052,0.1152,0,0
311.15,0.10538,0.11538,0,0
311.14,0.10556,0.11556,0,0
311.13,0.10574,0.11574,0,0
311.12,0.10592,0.11592,0,0
311.11,0.10611,0.11611,0,0
311.11,0.10629,0.11629,0,0
311.1,0.10647,0.11647,0,0
311.09,0.10665,0.11665,0,0
311.08,0.10683,0.11683,0,0
311.07,0.10702,0.11702,0,0
311.06,0.1072,0.1172,0,0
311.06,0.10738,0.11738,0,0
311.05,0.10756,0.11756,0,0
311.04,0.10774,0.11774,0,0
311.03,0.10793,0.11793,0,0
311.03,0.10811,0.11811,0,0
311.02,0.10829,0.11829,0,0
311.01,0.10847,0.11847,0,0
311,0.10865,0.11865,0,0
311,0.10884,0.11884,0,0
310.99,0.10902,0.11902,0,0
310.98,0.1092,0.1192,0,0
310.98,0.10938,0.11938,0,0
310.97,0.10956,0.11956,0,0
310.96,0.10975,0.11975,0,0
310.96,0.10993,0.11993,0,0
310.95,0.11011,0.12011,0,0
310.94,0.11029,0.12029,0,0
310.94,0.11047,0.12047,0,0
310.93,0.11066,0.12066,0,0
310.93,0.11084,0.12084,0,0
310.92,0.11102,0.12102,0,0
310.92,0.1112,0.1212,0,0
310.91,0.11138,0.12138,0,0
310.9,0.11157,0.12157,0,0
310.9,0.11175,0.12175,0,0
310.89,0.11193,0.12193,0,0
310.89,0.11211,0.12211,0,0
310.88,0.11229,0.12229,0,0
310.88,0.11248,0.12248,0,0
310.87,0.11266,0.12266,0,0
310.87,0.11284,0.12284,0,0
310.86,0.11302,0.12302,0,0
310.86,0.1132,0.1232,0,0
310.85,0.11339,0.12339,0,0
310.85,0.11357,0.12357,0,0
310.84,0.11375,0.12375,0,0
310.84,0.11393,0.12393,0,0
310.83,0.11411,0.12411,0,0
310.83,0.1143,0.1243,0,0
310.83,0.11448,0.12448,0,0
310.82,0.11466,0.12466,0,0
310.82,0.11484,0.12484,0,0
310.81,0.11502,0.12502,0,0
310.81,0.11521,0.12521,0,0
310.8,0.11539,0.12539,0,0
310.8,0.11557,0.12557,0,0
310.8,0.11575,0.12575,0,0
310.79,0.11593,0.12593,0,0
310.79,0.11612,0.12612,0,0
310.79,0.1163,0.1263,0,0
310.78,0.11648,0.12648,0,0
310.78,0.11666,0.12666,0,0
310.77,0.11684,0.12684,0,0
310.77,0.11703,0.12703,0,0
310.77,0.11721,0.12721,0,0
310.76,0.11739,0.12739,0,0
310.76,0.11757,0.12757,0,0
310.76,0.11775,0.12775,0,0
310.75,0.11794,0.12794,0,0
310.75,0.11812,0.12812,0,0
310.75,0.1183,0.1283,0,0
310.74,0.11848,0.12848,0,0
310.74,0.11866,0.12866,0,0
310.74,0.11885,0.12885,0,0
310.73,0.11903,0.12903,0,0
310.73,0.11921,0.12921,0,0
310.73,0.11939,0.12939,0,0
310.72,0.11957,0.12957,0,0
310.72,0.11976,0.12976,0,0
310.72,0.11994,0.12994,0,0
310.71,0.12012,0.13012,0,0
310.71,0.1203,0.1303,0,0
310.71,0.12048,0.13048,0,0
310.71,0.12067,0.13067,0,0
310.7,0.12085,0.13085,0,0
310.7,0.12103,0.13103,0,0
310.7,0.12121,0.13121,0,0
310.69,0.12139,0.13139,0,0
310.69,0.12158,0.13158,0,0
310.69,0.12176,0.13176,0,0
310.69,0.12194,0.13194,0,0
310.68,0.12212,0.13212,0,0
310.68,0.1223,0.1323,0,0
310.68,0.12249,0.13249,0,0
310.68,0.12267,0.13267,0,0
310.67,0.12285,0.13285,0,0
310.67,0.12303,0.13303,0,0
310.67,0.12321,0.13321,0,0
310.67,0.1234,0.1334,0,0
310.66,0.12358,0.13358,0,0
310.66,0.12376,0.13376,0,0
310.66,0.12394,0.13394,0,0
310.66,0.12412,0.13412,0,0
310.65,0.12431,0.13431,0,0
310.65,0.12449,0.13449,0,0
310.65,0.12467,0.13467,0,0
310.65,0.12485,0.13485,0,0
310.64,0.12503,0.13503,0,0
310.64,0.12522,0.13522,0,0
310.64,0.1254,0.1354,0,0
310.64,0.12558,0.13558,0,0
310.64,0.12576,0.13576,0,0
310.63,0.12594,0.13594,0,0
